Date,Open,High,Low,Close,Volume
2019-04-15,240.39,242.3,237.06,237.8,47848560
2019-04-16,239,239.5,232.32,233.24,86383980
2019-04-17,234.52,235.75,232,234.3,70133760
2019-04-18,233.8,234.11,230.84,232.79,55682060
2019-04-19,233.48,233.5,231.9,232.6,12238240
2019-04-22,233.7,236.09,233.05,235.41,44233210
2019-04-23,235.99,237.56,234.16,235.67,56823030
2019-04-24,235,236.47,233.94,236,43602000
2019-04-25,235.68,236,227.8,227.8,100789420
2019-04-26,227.47,227.47,222.08,223.18,94039040
2019-04-29,223.7,229.09,223.05,228.8,48768500
2019-04-30,229.02,229.02,223.81,225.17,63392980
2019-05-02,226,229.84,225.85,229.1,36429060
2019-05-03,229.69,233,228.55,232.52,47604250
2019-05-06,228.72,232.8,227,232.8,48147810
2019-05-07,232.7,234.34,230.26,231.49,46470700
2019-05-08,231.03,232.5,229.5,230,42255720
2019-05-10,227,229.49,226.11,227,43963230
2019-05-13,226.6,228.67,224.15,224.22,47065110
2019-05-14,224.6,230.55,224.6,227.88,76555100
2019-05-15,228.92,230.96,224.43,228.69,61009200
2019-05-16,228.98,231.45,227.59,228.19,40094740
2019-05-17,226.98,228.24,226,226.94,28412300
2019-05-20,228.1,229.18,225.1,226,30088250
2019-05-21,227.02,232.71,226.04,232.71,59067410
2019-05-22,233.13,237.4,230.8,235.86,59371310
2019-05-23,234.48,235.37,228.57,229.3,51293570
2019-05-24,231.21,236.45,231.2,234.45,65680760
2019-05-27,235.27,237,233.83,236,27752790
2019-05-28,236.4,237.47,230.6,233.19,74031020
2019-05-29,232.19,234.3,230.25,233.4,51364080
2019-05-30,234.56,235.21,231.91,232.75,36306660
2019-05-31,230.56,234.1,229.21,233.24,53296760
2019-06-03,231.18,241.5,230.35,239.95,84406830
2019-06-04,239.85,240.25,234.8,236,69935260
2019-06-05,236.12,240.3,235.11,239,52756470
2019-06-06,238.87,246.34,238.53,244.89,61323390
2019-06-07,246.38,249,246.06,248.28,68267530
2019-06-10,249.58,250.65,245.2,249,62543690
2019-06-11,235.5,239,235.11,235.89,67252510
2019-06-13,236.5,241.07,232.55,240.49,75143890
2019-06-14,240.6,243.8,237.1,238.8,50167230
2019-06-17,238.91,240.87,237.5,237.8,33592970
2019-06-18,237.25,241.99,236.36,241.8,48909090
2019-06-19,242.5,242.95,238.7,240.4,33760330
2019-06-20,241.98,244.99,241.4,244.1,64284450
2019-06-21,243.01,243.9,237.56,238.02,60981900
2019-06-24,239.01,240.75,238.42,239.09,27673280
2019-06-25,238.95,239.2,234.2,236.7,38507450
2019-06-26,236.8,241.37,235.81,240.59,39691210
2019-06-27,240.42,242.44,238.3,240.5,48108550
2019-06-28,240.12,241.23,237.87,238.55,33373530
2019-07-01,240.98,243.9,240.21,242.98,50562960
2019-07-02,242.52,242.74,239.7,241.2,28531390
2019-07-03,241,243.7,240.17,241.51,32693350
