Date,Open,High,Low,Close,Volume,Adj Close
2020-01-03 11:00:00,255.97,256.97,255.52,255.77,4651320,255.77
2020-01-03 12:00:00,255.78,257.05,255.52,257.01,3754140,257.01
2020-01-03 13:00:00,257.0,258.19,256.77,257.2,4061070,257.2
2020-01-03 14:00:00,257.2,257.6,256.06,256.45,3052930,256.45
2020-01-03 15:00:00,256.45,256.75,254.56,254.65,5143900,254.65
2020-01-03 16:00:00,254.64,255.0,253.7,254.97,4554160,254.97
2020-01-03 17:00:00,254.95,255.1,254.3,254.5,2546990,254.5
2020-01-03 18:00:00,254.51,254.96,254.3,254.35,3059620,254.35
2020-01-03 19:00:00,254.38,255.16,254.1,255.0,5000030,255.0
2020-01-06 11:00:00,254.75,254.84,252.03,252.1,4578260,252.1
2020-01-06 12:00:00,252.1,253.92,251.76,252.05,3997770,252.05
2020-01-06 13:00:00,252.05,252.45,251.4,251.71,2485200,251.71
2020-01-06 14:00:00,251.72,252.14,251.5,251.84,1246790,251.84
2020-01-06 15:00:00,251.8,252.14,251.4,252.01,764010,252.01
2020-01-06 16:00:00,252.01,252.5,251.72,252.17,1386000,252.17
2020-01-06 17:00:00,252.11,252.65,251.7,252.46,1730040,252.46
2020-01-06 18:00:00,252.4,252.74,252.1,252.49,1933000,252.49
2020-01-06 19:00:00,252.47,253.9,252.47,253.9,4206870,253.9
2020-01-08 11:00:00,253.62,255.7,253.03,255.06,7194480,255.06
2020-01-08 12:00:00,255.07,258.0,255.02,256.28,8401760,256.28
2020-01-08 13:00:00,256.31,257.43,256.26,256.78,3161750,256.78
2020-01-08 14:00:00,256.86,256.98,255.81,256.91,2566260,256.91
2020-01-08 15:00:00,256.91,257.25,256.65,256.87,3753530,256.87
2020-01-08 16:00:00,256.88,257.99,256.75,257.84,3298670,257.84
2020-01-08 17:00:00,257.87,258.69,257.02,258.14,4609590,258.14
2020-01-08 18:00:00,258.21,258.86,257.95,258.72,2330570,258.72
2020-01-08 19:00:00,258.71,259.15,258.32,259.15,5419420,259.15
2020-01-09 11:00:00,259.41,261.76,259.36,261.1,8518180,261.1
2020-01-09 12:00:00,261.09,261.09,258.68,258.97,6415810,258.97
2020-01-09 13:00:00,259.0,259.87,258.28,259.75,2273080,259.75
2020-01-09 14:00:00,259.73,260.94,258.89,258.95,3262650,258.95
2020-01-09 15:00:00,258.97,259.54,258.74,259.48,2952080,259.48
2020-01-09 16:00:00,259.48,259.86,257.55,258.38,4025130,258.38
2020-01-09 17:00:00,258.38,258.8,257.8,257.98,1656800,257.98
2020-01-09 18:00:00,257.92,258.68,257.58,257.78,3533850,257.78
2020-01-09 19:00:00,257.79,258.03,257.01,257.99,5558720,257.99
2020-01-10 11:00:00,257.91,258.21,256.88,257.45,3143850,257.45
2020-01-10 12:00:00,257.42,259.25,257.13,258.87,4329890,258.87
2020-01-10 13:00:00,258.88,259.1,258.43,258.7,2032870,258.7
2020-01-10 14:00:00,258.7,258.79,258.0,258.05,1018400,258.05
2020-01-10 15:00:00,258.05,258.47,257.7,258.14,1283390,258.14
2020-01-10 16:00:00,258.13,258.57,257.9,258.07,1159530,258.07
